filename,class
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (387).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1243).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (966).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (400).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (350).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (46).jpg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (105).jpg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1099).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1308).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1215).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (177).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (480).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (118).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (636).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1049).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (71).jpg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (153).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (399).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (828).jpeg,Hot Dog
